index,pindex,N(0),N(1),N(2),Tex(0),Tex(1),Tex(2)
72,72,0.0,1.0,0.0,0.0,0.41379310344827586,0.0
73,73,0.05783370434595154,0.5000000000000001,-0.864092160965267,0.16666666666666666,0.41379310344827586,0.0
74,74,0.057833704345951545,-0.4999999999999998,-0.8640921609652671,0.3333333333333333,0.41379310344827586,0.0
75,75,8.178265972407099e-18,-1.0,-1.2219129998614118e-16,0.5,0.41379310344827586,0.0
76,76,-0.05783370434595153,-0.5000000000000004,0.8640921609652669,0.6666666666666666,0.41379310344827586,0.0
77,77,-0.057833704345951566,0.49999999999999933,0.8640921609652674,0.8333333333333334,0.41379310344827586,0.0
78,78,0.0,1.0,0.0,0.0,0.4482758620689655,0.0
79,79,0.1484700558028129,0.5000000000000001,-0.8532037520603796,0.16666666666666666,0.4482758620689655,0.0
80,80,0.1484700558028129,-0.4999999999999998,-0.8532037520603797,0.3333333333333333,0.4482758620689655,0.0
81,81,2.0995155316875805e-17,-1.0,-1.2065156973632313e-16,0.5,0.4482758620689655,0.0
82,82,-0.14847005580281286,-0.5000000000000004,0.8532037520603795,0.6666666666666666,0.4482758620689655,0.0
83,83,-0.14847005580281294,0.49999999999999933,0.85320375206038,0.8333333333333334,0.4482758620689655,0.0
84,84,0.0,1.0,0.0,0.0,0.4827586206896552,0.0
85,85,0.42344825360747845,0.5000000000000001,-0.7554413124239212,0.16666666666666666,0.4827586206896552,0.0
86,86,0.4234482536074785,-0.4999999999999998,-0.7554413124239213,0.3333333333333333,0.4827586206896552,0.0
87,87,5.987983102098619e-17,-1.0,-1.0682698003555431e-16,0.5,0.4827586206896552,0.0
88,88,-0.4234482536074784,-0.5000000000000004,0.7554413124239211,0.6666666666666666,0.4827586206896552,0.0
89,89,-0.4234482536074787,0.49999999999999933,0.7554413124239217,0.8333333333333334,0.4827586206896552,0.0
90,90,0.0,1.0,0.0,0.0,0.5172413793103449,0.0
91,91,0.7554413655159233,0.5000000000000001,-0.42344815889012566,0.16666666666666666,0.5172413793103449,0.0
92,92,0.7554413655159234,-0.4999999999999998,-0.4234481588901257,0.3333333333333333,0.5172413793103449,0.0
93,93,1.0682698754329602e-16,-1.0,-5.987981762700231e-17,0.5,0.5172413793103449,0.0
94,94,-0.7554413655159232,-0.5000000000000004,0.4234481588901256,0.6666666666666666,0.5172413793103449,0.0
95,95,-0.7554413655159238,0.49999999999999933,0.4234481588901259,0.8333333333333334,0.5172413793103449,0.0
96,96,0.0,1.0,0.0,0.0,0.5517241379310345,0.0
