index,type,vertices
374,quad,374 375 391 390
375,quad,375 376 392 391
376,quad,376 377 393 392
377,quad,377 378 394 393
378,quad,378 379 395 394
379,quad,379 380 396 395
380,quad,380 381 397 396
381,quad,381 382 398 397
382,quad,382 383 399 398
383,quad,383 368 384 399
384,quad,384 385 401 400
385,quad,385 386 402 401
386,quad,386 387 403 402
387,quad,387 388 404 403
388,quad,388 389 405 404
389,quad,389 390 406 405
390,quad,390 391 407 406
391,quad,391 392 408 407
392,quad,392 393 409 408
393,quad,393 394 410 409
394,quad,394 395 411 410
395,quad,395 396 412 411
396,quad,396 397 413 412
397,quad,397 398 414 413
398,quad,398 399 415 414
399,quad,399 384 400 415
400,quad,400 401 417 416
401,quad,401 402 418 417
402,quad,402 403 419 418
403,quad,403 404 420 419
404,quad,404 405 421 420
405,quad,405 406 422 421
406,quad,406 407 423 422
407,quad,407 408 424 423
408,quad,408 409 425 424
409,quad,409 410 426 425
410,quad,410 411 427 426
411,quad,411 412 428 427
412,quad,412 413 429 428
413,quad,413 414 430 429
414,quad,414 415 431 430
415,quad,415 400 416 431
416,quad,416 417 433 432
417,quad,417 418 434 433
418,quad,418 419 435 434
419,quad,419 420 436 435
420,quad,420 421 437 436
421,quad,421 422 438 437
422,quad,422 423 439 438
423,quad,423 424 440 439
424,quad,424 425 441 440
425,quad,425 426 442 441
426,quad,426 427 443 442
427,quad,427 428 444 443
428,quad,428 429 445 444
429,quad,429 430 446 445
430,quad,430 431 447 446
431,quad,431 416 432 447
432,quad,432 433 449 448
433,quad,433 434 450 449
434,quad,434 435 451 450
435,quad,435 436 452 451
436,quad,436 437 453 452
437,quad,437 438 454 453
438,quad,438 439 455 454
439,quad,439 440 456 455
440,quad,440 441 457 456
441,quad,441 442 458 457
442,quad,442 443 459 458
443,quad,443 444 460 459
444,quad,444 445 461 460
445,quad,445 446 462 461
446,quad,446 447 463 462
447,quad,447 432 448 463
448,quad,448 449 465 464
449,quad,449 450 466 465
450,quad,450 451 467 466
451,quad,451 452 468 467
452,quad,452 453 469 468
453,quad,453 454 470 469
454,quad,454 455 471 470
455,quad,455 456 472 471
456,quad,456 457 473 472
457,quad,457 458 474 473
458,quad,458 459 475 474
459,quad,459 460 476 475
460,quad,460 461 477 476
461,quad,461 462 478 477
462,quad,462 463 479 478
463,quad,463 448 464 479
464,quad,464 465 481 480
465,quad,465 466 482 481
466,quad,466 467 483 482
467,quad,467 468 484 483
468,quad,468 469 485 484
469,quad,469 470 486 485
470,quad,470 471 487 486
471,quad,471 472 488 487
472,quad,472 473 489 488
473,quad,473 474 490 489
474,quad,474 475 491 490
475,quad,475 476 492 491
476,quad,476 477 493 492
477,quad,477 478 494 493
478,quad,478 479 495 494
479,quad,479 464 480 495
480,quad,480 481 497 496
481,quad,481 482 498 497
482,quad,482 483 499 498
