index,prim:vindex,pindex,N(0),N(1),N(2),Tex(0),Tex(1),Tex(2)
81,20:1,21,0.0,-1.0,-1.2246467991473532e-16,0.5,0.3333333333333333,0.0
82,20:2,27,0.0,-1.0,-1.2246467991473532e-16,0.5,0.4444444444444444,0.0
83,20:3,26,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.4444444444444444,0.0
84,21:0,21,0.0,-1.0,-1.2246467991473532e-16,0.5,0.3333333333333333,0.0
85,21:1,22,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.3333333333333333,0.0
86,21:2,28,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.4444444444444444,0.0
87,21:3,27,0.0,-1.0,-1.2246467991473532e-16,0.5,0.4444444444444444,0.0
88,22:0,22,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.3333333333333333,0.0
89,22:1,23,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.3333333333333333,0.0
90,22:2,29,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.4444444444444444,0.0
91,22:3,28,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.4444444444444444,0.0
92,23:0,23,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.3333333333333333,0.0
93,23:1,18,0.0,1.0,0.0,1.0,0.3333333333333333,0.0
94,23:2,24,0.0,1.0,0.0,1.0,0.4444444444444444,0.0
95,23:3,29,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.4444444444444444,0.0
96,24:0,24,0.0,1.0,0.0,0.0,0.4444444444444444,0.0
97,24:1,25,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.4444444444444444,0.0
98,24:2,31,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.5555555555555556,0.0
99,24:3,30,0.0,1.0,0.0,0.0,0.5555555555555556,0.0
100,25:0,25,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.4444444444444444,0.0
101,25:1,26,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.4444444444444444,0.0
102,25:2,32,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.5555555555555556,0.0
103,25:3,31,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.5555555555555556,0.0
104,26:0,26,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.4444444444444444,0.0
105,26:1,27,0.0,-1.0,-1.2246467991473532e-16,0.5,0.4444444444444444,0.0
106,26:2,33,0.0,-1.0,-1.2246467991473532e-16,0.5,0.5555555555555556,0.0
107,26:3,32,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.5555555555555556,0.0
108,27:0,27,0.0,-1.0,-1.2246467991473532e-16,0.5,0.4444444444444444,0.0
109,27:1,28,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.4444444444444444,0.0
110,27:2,34,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.5555555555555556,0.0
111,27:3,33,0.0,-1.0,-1.2246467991473532e-16,0.5,0.5555555555555556,0.0
112,28:0,28,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.4444444444444444,0.0
113,28:1,29,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.4444444444444444,0.0
114,28:2,35,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.5555555555555556,0.0
115,28:3,34,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.5555555555555556,0.0
116,29:0,29,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.4444444444444444,0.0
117,29:1,24,0.0,1.0,0.0,1.0,0.4444444444444444,0.0
118,29:2,30,0.0,1.0,0.0,1.0,0.5555555555555556,0.0
