index,prim:vindex,pindex,N(0),N(1),N(2),Tex(0),Tex(1),Tex(2)
71,17:3,23,0.06939085467994285,0.49999999999999933,0.8632409335097518,0.8333333333333334,0.10344827586206896,0.0
72,18:0,18,0.0,1.0,0.0,0.0,0.10344827586206896,0.0
73,18:1,19,-0.06939085467994281,0.5000000000000001,-0.8632409335097514,0.16666666666666666,0.10344827586206896,0.0
74,18:2,25,-0.07062341363634203,0.5000000000000001,-0.8631409696256749,0.16666666666666666,0.13793103448275862,0.0
75,18:3,24,0.0,1.0,0.0,0.0,0.13793103448275862,0.0
76,19:0,19,-0.06939085467994281,0.5000000000000001,-0.8632409335097514,0.16666666666666666,0.10344827586206896,0.0
77,19:1,20,-0.06939085467994283,-0.4999999999999998,-0.8632409335097515,0.3333333333333333,0.10344827586206896,0.0
78,19:2,26,-0.07062341363634203,-0.4999999999999998,-0.863140969625675,0.3333333333333333,0.13793103448275862,0.0
79,19:3,25,-0.07062341363634203,0.5000000000000001,-0.8631409696256749,0.16666666666666666,0.13793103448275862,0.0
80,20:0,20,-0.06939085467994283,-0.4999999999999998,-0.8632409335097515,0.3333333333333333,0.10344827586206896,0.0
81,20:1,21,-9.812562969000756e-18,-1.0,-1.2207092788456216e-16,0.5,0.10344827586206896,0.0
82,20:2,27,-9.986859170257506e-18,-1.0,-1.2205679198853303e-16,0.5,0.13793103448275862,0.0
83,20:3,26,-0.07062341363634203,-0.4999999999999998,-0.863140969625675,0.3333333333333333,0.13793103448275862,0.0
84,21:0,21,-9.812562969000756e-18,-1.0,-1.2207092788456216e-16,0.5,0.10344827586206896,0.0
85,21:1,22,0.06939085467994281,-0.5000000000000004,0.8632409335097513,0.6666666666666666,0.10344827586206896,0.0
86,21:2,28,0.07062341363634202,-0.5000000000000004,0.8631409696256748,0.6666666666666666,0.13793103448275862,0.0
87,21:3,27,-9.986859170257506e-18,-1.0,-1.2205679198853303e-16,0.5,0.13793103448275862,0.0
88,22:0,22,0.06939085467994281,-0.5000000000000004,0.8632409335097513,0.6666666666666666,0.10344827586206896,0.0
89,22:1,23,0.06939085467994285,0.49999999999999933,0.8632409335097518,0.8333333333333334,0.10344827586206896,0.0
90,22:2,29,0.07062341363634206,0.49999999999999933,0.8631409696256753,0.8333333333333334,0.13793103448275862,0.0
91,22:3,28,0.07062341363634202,-0.5000000000000004,0.8631409696256748,0.6666666666666666,0.13793103448275862,0.0
92,23:0,23,0.06939085467994285,0.49999999999999933,0.8632409335097518,0.8333333333333334,0.10344827586206896,0.0
93,23:1,18,0.0,1.0,0.0,1.0,0.10344827586206896,0.0
94,23:2,24,0.0,1.0,0.0,1.0,0.13793103448275862,0.0
95,23:3,29,0.07062341363634206,0.49999999999999933,0.8631409696256753,0.8333333333333334,0.13793103448275862,0.0
96,24:0,24,0.0,1.0,0.0,0.0,0.13793103448275862,0.0
97,24:1,25,-0.07062341363634203,0.5000000000000001,-0.8631409696256749,0.16666666666666666,0.13793103448275862,0.0
98,24:2,31,-0.06868655589818003,0.5000000000000001,-0.8632972587926167,0.16666666666666666,0.1724137931034483,0.0
99,24:3,30,0.0,1.0,0.0,0.0,0.1724137931034483,0.0
100,25:0,25,-0.07062341363634203,0.5000000000000001,-0.8631409696256749,0.16666666666666666,0.13793103448275862,0.0
101,25:1,26,-0.07062341363634203,-0.4999999999999998,-0.863140969625675,0.3333333333333333,0.13793103448275862,0.0
102,25:2,32,-0.06868655589818004,-0.4999999999999998,-0.8632972587926168,0.3333333333333333,0.1724137931034483,0.0
103,25:3,31,-0.06868655589818003,0.5000000000000001,-0.8632972587926167,0.16666666666666666,0.1724137931034483,0.0
104,26:0,26,-0.07062341363634203,-0.4999999999999998,-0.863140969625675,0.3333333333333333,0.13793103448275862,0.0
105,26:1,27,-9.986859170257506e-18,-1.0,-1.2205679198853303e-16,0.5,0.13793103448275862,0.0
106,26:2,33,-9.712968055853861e-18,-1.0,-1.2207889284460497e-16,0.5,0.1724137931034483,0.0
107,26:3,32,-0.06868655589818004,-0.4999999999999998,-0.8632972587926168,0.3333333333333333,0.1724137931034483,0.0
108,27:0,27,-9.986859170257506e-18,-1.0,-1.2205679198853303e-16,0.5,0.13793103448275862,0.0
109,27:1,28,0.07062341363634202,-0.5000000000000004,0.8631409696256748,0.6666666666666666,0.13793103448275862,0.0
110,27:2,34,0.06868655589818003,-0.5000000000000004,0.8632972587926165,0.6666666666666666,0.1724137931034483,0.0
111,27:3,33,-9.712968055853861e-18,-1.0,-1.2207889284460497e-16,0.5,0.1724137931034483,0.0
112,28:0,28,0.07062341363634202,-0.5000000000000004,0.8631409696256748,0.6666666666666666,0.13793103448275862,0.0
113,28:1,29,0.07062341363634206,0.49999999999999933,0.8631409696256753,0.8333333333333334,0.13793103448275862,0.0
114,28:2,35,0.06868655589818007,0.49999999999999933,0.8632972587926171,0.8333333333333334,0.1724137931034483,0.0
115,28:3,34,0.06868655589818003,-0.5000000000000004,0.8632972587926165,0.6666666666666666,0.1724137931034483,0.0
116,29:0,29,0.07062341363634206,0.49999999999999933,0.8631409696256753,0.8333333333333334,0.13793103448275862,0.0
117,29:1,24,0.0,1.0,0.0,1.0,0.13793103448275862,0.0
118,29:2,30,0.0,1.0,0.0,1.0,0.1724137931034483,0.0
119,29:3,35,0.06868655589818007,0.49999999999999933,0.8632972587926171,0.8333333333333334,0.1724137931034483,0.0
120,30:0,30,0.0,1.0,0.0,0.0,0.1724137931034483,0.0
121,30:1,31,-0.06868655589818003,0.5000000000000001,-0.8632972587926167,0.16666666666666666,0.1724137931034483,0.0
122,30:2,37,-0.0642114184297446,0.5000000000000001,-0.8636416466007416,0.16666666666666666,0.20689655172413793,0.0
123,30:3,36,0.0,1.0,0.0,0.0,0.20689655172413793,0.0
124,31:0,31,-0.06868655589818003,0.5000000000000001,-0.8632972587926167,0.16666666666666666,0.1724137931034483,0.0
125,31:1,32,-0.06868655589818004,-0.4999999999999998,-0.8632972587926168,0.3333333333333333,0.1724137931034483,0.0
126,31:2,38,-0.0642114184297446,-0.4999999999999998,-0.8636416466007417,0.3333333333333333,0.20689655172413793,0.0
127,31:3,37,-0.0642114184297446,0.5000000000000001,-0.8636416466007416,0.16666666666666666,0.20689655172413793,0.0
128,32:0,32,-0.06868655589818004,-0.4999999999999998,-0.8632972587926168,0.3333333333333333,0.1724137931034483,0.0
129,32:1,33,-9.712968055853861e-18,-1.0,-1.2207889284460497e-16,0.5,0.1724137931034483,0.0
130,32:2,39,-9.080138723998834e-18,-1.0,-1.2212759273551377e-16,0.5,0.20689655172413793,0.0
131,32:3,38,-0.0642114184297446,-0.4999999999999998,-0.8636416466007417,0.3333333333333333,0.20689655172413793,0.0
132,33:0,33,-9.712968055853861e-18,-1.0,-1.2207889284460497e-16,0.5,0.1724137931034483,0.0
133,33:1,34,0.06868655589818003,-0.5000000000000004,0.8632972587926165,0.6666666666666666,0.1724137931034483,0.0
134,33:2,40,0.06421141842974458,-0.5000000000000004,0.8636416466007415,0.6666666666666666,0.20689655172413793,0.0
135,33:3,39,-9.080138723998834e-18,-1.0,-1.2212759273551377e-16,0.5,0.20689655172413793,0.0
136,34:0,34,0.06868655589818003,-0.5000000000000004,0.8632972587926165,0.6666666666666666,0.1724137931034483,0.0
137,34:1,35,0.06868655589818007,0.49999999999999933,0.8632972587926171,0.8333333333333334,0.1724137931034483,0.0
138,34:2,41,0.06421141842974462,0.49999999999999933,0.863641646600742,0.8333333333333334,0.20689655172413793,0.0
139,34:3,40,0.06421141842974458,-0.5000000000000004,0.8636416466007415,0.6666666666666666,0.20689655172413793,0.0
140,35:0,35,0.06868655589818007,0.49999999999999933,0.8632972587926171,0.8333333333333334,0.1724137931034483,0.0
141,35:1,30,0.0,1.0,0.0,1.0,0.1724137931034483,0.0
142,35:2,36,0.0,1.0,0.0,1.0,0.20689655172413793,0.0
143,35:3,41,0.06421141842974462,0.49999999999999933,0.863641646600742,0.8333333333333334,0.20689655172413793,0.0
144,36:0,36,0.0,1.0,0.0,0.0,0.20689655172413793,0.0
145,36:1,37,-0.0642114184297446,0.5000000000000001,-0.8636416466007416,0.16666666666666666,0.20689655172413793,0.0
146,36:2,43,-0.057251501325850836,0.5000000000000001,-0.8641309308177413,0.16666666666666666,0.2413793103448276,0.0
147,36:3,42,0.0,1.0,0.0,0.0,0.2413793103448276,0.0
148,37:0,37,-0.0642114184297446,0.5000000000000001,-0.8636416466007416,0.16666666666666666,0.20689655172413793,0.0
149,37:1,38,-0.0642114184297446,-0.4999999999999998,-0.8636416466007417,0.3333333333333333,0.20689655172413793,0.0
150,37:2,44,-0.05725150132585084,-0.4999999999999998,-0.8641309308177414,0.3333333333333333,0.2413793103448276,0.0
151,37:3,43,-0.057251501325850836,0.5000000000000001,-0.8641309308177413,0.16666666666666666,0.2413793103448276,0.0
152,38:0,38,-0.0642114184297446,-0.4999999999999998,-0.8636416466007417,0.3333333333333333,0.20689655172413793,0.0
153,38:1,39,-9.080138723998834e-18,-1.0,-1.2212759273551377e-16,0.5,0.20689655172413793,0.0
154,38:2,45,-8.095936624803143e-18,-1.0,-1.221967824322136e-16,0.5,0.2413793103448276,0.0
155,38:3,44,-0.05725150132585084,-0.4999999999999998,-0.8641309308177414,0.3333333333333333,0.2413793103448276,0.0
156,39:0,39,-9.080138723998834e-18,-1.0,-1.2212759273551377e-16,0.5,0.20689655172413793,0.0
157,39:1,40,0.06421141842974458,-0.5000000000000004,0.8636416466007415,0.6666666666666666,0.20689655172413793,0.0
158,39:2,46,0.05725150132585082,-0.5000000000000004,0.8641309308177412,0.6666666666666666,0.2413793103448276,0.0
159,39:3,45,-8.095936624803143e-18,-1.0,-1.221967824322136e-16,0.5,0.2413793103448276,0.0
