index	prim:vindex	pindex	N(0)	N(1)	N(2)	Tex(0)	Tex(1)	Tex(2)
123	30:3	36	-4.371139e-8	1	0	0	0.6666667	0
124	31:0	31	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.5555556	0
125	31:1	32	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.5555556	0
126	31:2	38	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.6666667	0
127	31:3	37	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.6666667	0
128	32:0	32	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.5555556	0
129	32:1	33	4.371139e-8	-1	0	0.5	0.5555556	0
130	32:2	39	4.371139e-8	-1	0	0.5	0.6666667	0
131	32:3	38	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.6666667	0
132	33:0	33	4.371139e-8	-1	0	0.5	0.5555556	0
133	33:1	34	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.5555556	0
134	33:2	40	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.6666667	0
135	33:3	39	4.371139e-8	-1	0	0.5	0.6666667	0
136	34:0	34	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.5555556	0
137	34:1	35	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.5555556	0
138	34:2	41	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.6666667	0
139	34:3	40	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.6666667	0
140	35:0	35	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.5555556	0
141	35:1	30	-4.371139e-8	1	0	1	0.5555556	0
142	35:2	36	-4.371139e-8	1	0	1	0.6666667	0
143	35:3	41	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.6666667	0
144	36:0	36	-4.371139e-8	1	0	0	0.6666667	0
145	36:1	37	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.6666667	0
146	36:2	43	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.7777778	0
147	36:3	42	-4.371139e-8	1	0	0	0.7777778	0
148	37:0	37	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.6666667	0
149	37:1	38	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.6666667	0
150	37:2	44	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.7777778	0
151	37:3	43	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.7777778	0
152	38:0	38	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.6666667	0
153	38:1	39	4.371139e-8	-1	0	0.5	0.6666667	0
154	38:2	45	4.371139e-8	-1	0	0.5	0.7777778	0
155	38:3	44	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.7777778	0
156	39:0	39	4.371139e-8	-1	0	0.5	0.6666667	0
157	39:1	40	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.6666667	0
158	39:2	46	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.7777778	0
159	39:3	45	4.371139e-8	-1	0	0.5	0.7777778	0
160	40:0	40	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.6666667	0
161	40:1	41	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.6666667	0
162	40:2	47	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.7777778	0
163	40:3	46	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.7777778	0
164	41:0	41	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.6666667	0
165	41:1	36	-4.371139e-8	1	0	1	0.6666667	0
166	41:2	42	-4.371139e-8	1	0	1	0.7777778	0
167	41:3	47	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.7777778	0
168	42:0	42	-4.371139e-8	1	0	0	0.7777778	0
169	42:1	43	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.7777778	0
170	42:2	49	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.8888889	0
171	42:3	48	-4.371139e-8	1	0	0	0.8888889	0
172	43:0	43	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.7777778	0
173	43:1	44	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.7777778	0
174	43:2	50	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.8888889	0
175	43:3	49	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.8888889	0
176	44:0	44	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.7777778	0
177	44:1	45	4.371139e-8	-1	0	0.5	0.7777778	0
178	44:2	51	4.371139e-8	-1	0	0.5	0.8888889	0
179	44:3	50	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.8888889	0
180	45:0	45	4.371139e-8	-1	0	0.5	0.7777778	0
181	45:1	46	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.7777778	0
182	45:2	52	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.8888889	0
183	45:3	51	4.371139e-8	-1	0	0.5	0.8888889	0
184	46:0	46	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.7777778	0
185	46:1	47	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.7777778	0
186	46:2	53	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.8888889	0
187	46:3	52	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.8888889	0
188	47:0	47	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.7777778	0
189	47:1	42	-4.371139e-8	1	0	1	0.7777778	0
190	47:2	48	-4.371139e-8	1	0	1	0.8888889	0
191	47:3	53	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.8888889	0
192	48:0	48	-4.371139e-8	1	0	0	0.8888889	0
193	48:1	49	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.8888889	0
194	48:2	55	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	1	0
195	48:3	54	-4.371139e-8	1	0	0	1	0
196	49:0	49	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.8888889	0
197	49:1	50	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.8888889	0
198	49:2	56	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	1	0
199	49:3	55	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	1	0
200	50:0	50	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.8888889	0
201	50:1	51	4.371139e-8	-1	0	0.5	0.8888889	0
202	50:2	57	4.371139e-8	-1	0	0.5	1	0
203	50:3	56	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	1	0
204	51:0	51	4.371139e-8	-1	0	0.5	0.8888889	0
205	51:1	52	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.8888889	0
206	51:2	58	2.18557e-8	-0.5000001	0.86602527	0.6666667	1	0
207	51:3	57	4.371139e-8	-1	0	0.5	1	0
208	52:0	52	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.8888889	0
209	52:1	53	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.8888889	0
210	52:2	59	-2.1855692e-8	0.49999997	0.8660253	0.8333334	1	0
211	52:3	58	2.18557e-8	-0.5000001	0.86602527	0.6666667	1	0
212	53:0	53	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.8888889	0
213	53:1	48	-4.371139e-8	1	0	1	0.8888889	0
214	53:2	54	-4.371139e-8	1	0	1	1	0
215	53:3	59	-2.1855692e-8	0.49999997	0.8660253	0.8333334	1	0
